Property	Value	.05 (14.067)	.01 (18.475)	.001 (24.322)
alpha-CH chemical shifts (ANDN920101)	764.076	*	*	*
Hydrophobicity index (ARGP820101)	623.258	*	*	*
Signal sequence helical potential (ARGP820102)	90.32	*	*	*
Membrane-buried preference parameters (ARGP820103)	80.707	*	*	*
Conformational parameter of inner helix (BEGF750101)	297.828	*	*	*
Conformational parameter of beta-structure (BEGF750102)	473.971	*	*	*
Conformational parameter of beta-turn (BEGF750103)	142.906	*	*	*
Average flexibility indices (BHAR880101)	362.512	*	*	*
Residue volume (BIGC670101)	383.538	*	*	*
Information value for accessibility; average fraction 35% (BIOV880101)	355.402	*	*	*
Information value for accessibility; average fraction 23% (BIOV880102)	200.683	*	*	*
Retention coefficient in TFA (BROC820101)	132.318	*	*	*
Retention coefficient in HFBA (BROC820102)	327.826	*	*	*
Transfer free energy to surface (BULH740101)	324.503	*	*	*
Apparent partial specific volume (BULH740102)	279.259	*	*	*
alpha-CH chemical shifts (BUNA790102)	1117.49	*	*	*
Spin-spin coupling constants 3JHalpha-NH (BUNA790103)	73.438	*	*	*
Normalized frequency of alpha-helix (BURA740101)	223.675	*	*	*
Normalized frequency of extended structure (BURA740102)	107.25	*	*	*
Steric parameter (CHAM810101)	531.728	*	*	*
Polarizability parameter (CHAM820101)	480.895	*	*	*
Free energy of solution in water, kcal/mole (CHAM820102)	295.985	*	*	*
The Chou-Fasman parameter of the coil conformation (CHAM830101)	135.628	*	*	*
A parameter defined from the residuals obtained from the best correlation of the Chou-Fasman parameter of beta-sheet (CHAM830102)	63.511	*	*	*
The number of atoms in the side chain labelled 1+1 (CHAM830103)	179.74	*	*	*
The number of atoms in the side chain labelled 2+1 (CHAM830104)	36.954	*	*	*
The number of atoms in the side chain labelled 3+1 (CHAM830105)	85.761	*	*	*
The number of bonds in the longest chain (CHAM830106)	234.85	*	*	*
A parameter of charge transfer capability (CHAM830107)	117.085	*	*	*
A parameter of charge transfer donor capability (CHAM830108)	40.68	*	*	*
Average volume of buried residue (CHOC750101)	468.995	*	*	*
Residue accessible surface area in tripeptide (CHOC760101)	446.244	*	*	*
Residue accessible surface area in folded protein (CHOC760102)	157.624	*	*	*
Proportion of residues 95% buried (CHOC760103)	296.38	*	*	*
Proportion of residues 100% buried (CHOC760104)	1486.586	*	*	*
Normalized frequency of beta-turn (CHOP780101)	175.999	*	*	*
Normalized frequency of alpha-helix (CHOP780201)	274.734	*	*	*
Normalized frequency of beta-sheet (CHOP780202)	547.093	*	*	*
Normalized frequency of beta-turn (CHOP780203)	215.729	*	*	*
Normalized frequency of N-terminal helix (CHOP780204)	197.532	*	*	*
Normalized frequency of C-terminal helix (CHOP780205)	368.853	*	*	*
Normalized frequency of N-terminal non helical region (CHOP780206)	338.951	*	*	*
Normalized frequency of C-terminal non helical region (CHOP780207)	360.523	*	*	*
Normalized frequency of N-terminal beta-sheet (CHOP780208)	776.824	*	*	*
Normalized frequency of C-terminal beta-sheet (CHOP780209)	254.575	*	*	*
Normalized frequency of N-terminal non beta region (CHOP780210)	390.942	*	*	*
Normalized frequency of C-terminal non beta region (CHOP780211)	267.81	*	*	*
Frequency of the 1st residue in turn (CHOP780212)	311.257	*	*	*
Frequency of the 2nd residue in turn (CHOP780213)	202.183	*	*	*
Frequency of the 3rd residue in turn (CHOP780214)	178.365	*	*	*
Frequency of the 4th residue in turn (CHOP780215)	202.042	*	*	*
Normalized frequency of the 2nd and 3rd residues in turn (CHOP780216)	190.184	*	*	*
Normalized hydrophobicity scales for alpha-proteins (CIDH920101)	526.75	*	*	*
Normalized hydrophobicity scales for beta-proteins (CIDH920102)	334.223	*	*	*
Normalized hydrophobicity scales for alpha+beta-proteins (CIDH920103)	146.524	*	*	*
Normalized hydrophobicity scales for alpha/beta-proteins (CIDH920104)	259.291	*	*	*
Normalized average hydrophobicity scales (CIDH920105)	392.162	*	*	*
Partial specific volume (COHE430101)	318.064	*	*	*
Normalized frequency of middle helix (CRAJ730101)	183.746	*	*	*
Normalized frequency of beta-sheet (CRAJ730102)	428.414	*	*	*
Normalized frequency of turn (CRAJ730103)	274.386	*	*	*
Size (DAWD720101)	372.024	*	*	*
Amino acid composition (DAYM780101)	201.563	*	*	*
Relative mutability (DAYM780201)	543.306	*	*	*
Membrane preference for cytochrome b: MPH89 (DESM900101)	248.228	*	*	*
Average membrane preference: AMP07 (DESM900102)	260.189	*	*	*
Consensus normalized hydrophobicity scale (EISD840101)	424.763	*	*	*
Solvation free energy (EISD860101)	323.464	*	*	*
Atom-based hydrophobic moment (EISD860102)	86.424	*	*	*
Direction of hydrophobic moment (EISD860103)	714.526	*	*	*
Molecular weight (FASG760101)	551.718	*	*	*
Melting point (FASG760102)	242.856	*	*	*
Optical rotation (FASG760103)	158.264	*	*	*
pK-N (FASG760104)	296.786	*	*	*
pK-C (FASG760105)	447.416	*	*	*
Hydrophobic parameter pi (FAUJ830101)	379.846	*	*	*
Graph shape index (FAUJ880101)	111.079	*	*	*
Smoothed upsilon steric parameter (FAUJ880102)	516.577	*	*	*
Normalized van der Waals volume (FAUJ880103)	578.817	*	*	*
STERIMOL length of the side chain (FAUJ880104)	391.165	*	*	*
STERIMOL minimum width of the side chain (FAUJ880105)	263.531	*	*	*
STERIMOL maximum width of the side chain (FAUJ880106)	436.907	*	*	*
N.m.r. chemical shift of alpha-carbon (FAUJ880107)	867.789	*	*	*
Localized electrical effect (FAUJ880108)	484.392	*	*	*
Number of hydrogen bond donors (FAUJ880109)	117.52	*	*	*
Number of full nonbonding orbitals (FAUJ880110)	86.747	*	*	*
Positive charge (FAUJ880111)	123.575	*	*	*
Negative charge (FAUJ880112)	36.811	*	*	*
pK-a(RCOOH) (FAUJ880113)	90.002	*	*	*
Helix-coil equilibrium constant (FINA770101)	235.965	*	*	*
Helix initiation parameter at posision i-1 (FINA910101)	222.597	*	*	*
Helix termination parameter at posision j-2,j-1,j (FINA910103)	247.281	*	*	*
Helix termination parameter at posision j+1 (FINA910104)	390.754	*	*	*
Partition coefficient (GARJ730101)	69.853	*	*	*
Alpha-helix indices (GEIM800101)	406.712	*	*	*
Alpha-helix indices for alpha-proteins (GEIM800102)	159.793	*	*	*
Alpha-helix indices for beta-proteins (GEIM800103)	268.914	*	*	*
Alpha-helix indices for alpha/beta-proteins (GEIM800104)	107.38	*	*	*
Beta-strand indices (GEIM800105)	93.038	*	*	*
Beta-strand indices for beta-proteins (GEIM800106)	110.919	*	*	*
Beta-strand indices for alpha/beta-proteins (GEIM800107)	125.298	*	*	*
Aperiodic indices (GEIM800108)	224.388	*	*	*
Aperiodic indices for alpha-proteins (GEIM800109)	188.898	*	*	*
Aperiodic indices for beta-proteins (GEIM800110)	260.21	*	*	*
Aperiodic indices for alpha/beta-proteins (GEIM800111)	177.625	*	*	*
Hydrophobicity factor (GOLD730101)	406.201	*	*	*
Residue volume (GOLD730102)	388.526	*	*	*
Composition (GRAR740101)	262.844	*	*	*
Polarity (GRAR740102)	276.641	*	*	*
Volume (GRAR740103)	294.909	*	*	*
Partition energy (GUYH850101)	535.102	*	*	*
Hydration number (Hopfinger, 1971), Cited by Charton-Charton (HOPA770101)	226.074	*	*	*
Hydrophilicity value (HOPT810101)	431.125	*	*	*
Heat capacity (HUTJ700101)	466.88	*	*	*
Absolute entropy (HUTJ700102)	612.094	*	*	*
Entropy of formation (HUTJ700103)	503.995	*	*	*
Normalized relative frequency of alpha-helix (ISOY800101)	162.243	*	*	*
Normalized relative frequency of extended structure (ISOY800102)	1628.25	*	*	*
Normalized relative frequency of bend (ISOY800103)	314.689	*	*	*
Normalized relative frequency of bend R (ISOY800104)	131.345	*	*	*
Normalized relative frequency of bend S (ISOY800105)	725.02	*	*	*
Normalized relative frequency of helix end (ISOY800106)	694.093	*	*	*
Normalized relative frequency of double bend (ISOY800107)	365.302	*	*	*
Normalized relative frequency of coil (ISOY800108)	741.429	*	*	*
Average accessible surface area (JANJ780101)	366.978	*	*	*
Percentage of buried residues (JANJ780102)	218.934	*	*	*
Percentage of exposed residues (JANJ780103)	303.386	*	*	*
Ratio of buried and accessible molar fractions (JANJ790101)	432.498	*	*	*
Transfer free energy (JANJ790102)	531.22	*	*	*
Hydrophobicity (JOND750101)	621.375	*	*	*
pK (-COOH) (JOND750102)	165.231	*	*	*
Relative frequency of occurrence (JOND920101)	153.389	*	*	*
Relative mutability (JOND920102)	402.883	*	*	*
