Property	Value	.05 (14.067)	.01 (18.475)	.001 (24.322)
alpha-CH chemical shifts (ANDN920101)	393.416	*	*	*
Hydrophobicity index (ARGP820101)	464.86	*	*	*
Signal sequence helical potential (ARGP820102)	147.017	*	*	*
Membrane-buried preference parameters (ARGP820103)	101.675	*	*	*
Conformational parameter of inner helix (BEGF750101)	321.63	*	*	*
Conformational parameter of beta-structure (BEGF750102)	350.584	*	*	*
Conformational parameter of beta-turn (BEGF750103)	175.181	*	*	*
Average flexibility indices (BHAR880101)	314.44	*	*	*
Residue volume (BIGC670101)	423.037	*	*	*
Information value for accessibility; average fraction 35% (BIOV880101)	379.914	*	*	*
Information value for accessibility; average fraction 23% (BIOV880102)	244.594	*	*	*
Retention coefficient in TFA (BROC820101)	168.105	*	*	*
Retention coefficient in HFBA (BROC820102)	327.011	*	*	*
Transfer free energy to surface (BULH740101)	327.381	*	*	*
Apparent partial specific volume (BULH740102)	300.511	*	*	*
alpha-CH chemical shifts (BUNA790102)	464.958	*	*	*
Spin-spin coupling constants 3JHalpha-NH (BUNA790103)	105.875	*	*	*
Normalized frequency of alpha-helix (BURA740101)	231.683	*	*	*
Normalized frequency of extended structure (BURA740102)	143.041	*	*	*
Steric parameter (CHAM810101)	361.821	*	*	*
Polarizability parameter (CHAM820101)	417.624	*	*	*
Free energy of solution in water, kcal/mole (CHAM820102)	353.561	*	*	*
The Chou-Fasman parameter of the coil conformation (CHAM830101)	144.387	*	*	*
A parameter defined from the residuals obtained from the best correlation of the Chou-Fasman parameter of beta-sheet (CHAM830102)	67.593	*	*	*
The number of atoms in the side chain labelled 1+1 (CHAM830103)	183.432	*	*	*
The number of atoms in the side chain labelled 2+1 (CHAM830104)	43.895	*	*	*
The number of atoms in the side chain labelled 3+1 (CHAM830105)	105.478	*	*	*
The number of bonds in the longest chain (CHAM830106)	258.09	*	*	*
A parameter of charge transfer capability (CHAM830107)	107.202	*	*	*
A parameter of charge transfer donor capability (CHAM830108)	43.968	*	*	*
Average volume of buried residue (CHOC750101)	491.154	*	*	*
Residue accessible surface area in tripeptide (CHOC760101)	470.963	*	*	*
Residue accessible surface area in folded protein (CHOC760102)	184.285	*	*	*
Proportion of residues 95% buried (CHOC760103)	292.707	*	*	*
Proportion of residues 100% buried (CHOC760104)	605.203	*	*	*
Normalized frequency of beta-turn (CHOP780101)	201.604	*	*	*
Normalized frequency of alpha-helix (CHOP780201)	266.831	*	*	*
Normalized frequency of beta-sheet (CHOP780202)	449.599	*	*	*
Normalized frequency of beta-turn (CHOP780203)	231.47	*	*	*
Normalized frequency of N-terminal helix (CHOP780204)	211.023	*	*	*
Normalized frequency of C-terminal helix (CHOP780205)	301.187	*	*	*
Normalized frequency of N-terminal non helical region (CHOP780206)	327.427	*	*	*
Normalized frequency of C-terminal non helical region (CHOP780207)	299.869	*	*	*
Normalized frequency of N-terminal beta-sheet (CHOP780208)	508.298	*	*	*
Normalized frequency of C-terminal beta-sheet (CHOP780209)	294.091	*	*	*
Normalized frequency of N-terminal non beta region (CHOP780210)	361.705	*	*	*
Normalized frequency of C-terminal non beta region (CHOP780211)	324.319	*	*	*
Frequency of the 1st residue in turn (CHOP780212)	330.237	*	*	*
Frequency of the 2nd residue in turn (CHOP780213)	221.461	*	*	*
Frequency of the 3rd residue in turn (CHOP780214)	173.319	*	*	*
Frequency of the 4th residue in turn (CHOP780215)	185.462	*	*	*
Normalized frequency of the 2nd and 3rd residues in turn (CHOP780216)	185.1	*	*	*
Normalized hydrophobicity scales for alpha-proteins (CIDH920101)	519.53	*	*	*
Normalized hydrophobicity scales for beta-proteins (CIDH920102)	367.857	*	*	*
Normalized hydrophobicity scales for alpha+beta-proteins (CIDH920103)	177.546	*	*	*
Normalized hydrophobicity scales for alpha/beta-proteins (CIDH920104)	305.12	*	*	*
Normalized average hydrophobicity scales (CIDH920105)	471.81	*	*	*
Partial specific volume (COHE430101)	304.922	*	*	*
Normalized frequency of middle helix (CRAJ730101)	173.619	*	*	*
Normalized frequency of beta-sheet (CRAJ730102)	362.666	*	*	*
Normalized frequency of turn (CRAJ730103)	305.427	*	*	*
Size (DAWD720101)	379.007	*	*	*
Amino acid composition (DAYM780101)	194.688	*	*	*
Relative mutability (DAYM780201)	375.479	*	*	*
Membrane preference for cytochrome b: MPH89 (DESM900101)	298.29	*	*	*
Average membrane preference: AMP07 (DESM900102)	295.013	*	*	*
Consensus normalized hydrophobicity scale (EISD840101)	416.948	*	*	*
Solvation free energy (EISD860101)	328.3	*	*	*
Atom-based hydrophobic moment (EISD860102)	132.005	*	*	*
Direction of hydrophobic moment (EISD860103)	461.925	*	*	*
Molecular weight (FASG760101)	464.374	*	*	*
Melting point (FASG760102)	256.784	*	*	*
Optical rotation (FASG760103)	188.945	*	*	*
pK-N (FASG760104)	246.615	*	*	*
pK-C (FASG760105)	418.796	*	*	*
Hydrophobic parameter pi (FAUJ830101)	364.761	*	*	*
Graph shape index (FAUJ880101)	137.331	*	*	*
Smoothed upsilon steric parameter (FAUJ880102)	387.06	*	*	*
Normalized van der Waals volume (FAUJ880103)	492.806	*	*	*
STERIMOL length of the side chain (FAUJ880104)	304.104	*	*	*
STERIMOL minimum width of the side chain (FAUJ880105)	226.898	*	*	*
STERIMOL maximum width of the side chain (FAUJ880106)	369.911	*	*	*
N.m.r. chemical shift of alpha-carbon (FAUJ880107)	584.287	*	*	*
Localized electrical effect (FAUJ880108)	417.802	*	*	*
Number of hydrogen bond donors (FAUJ880109)	143.425	*	*	*
Number of full nonbonding orbitals (FAUJ880110)	94.593	*	*	*
Positive charge (FAUJ880111)	194.272	*	*	*
Negative charge (FAUJ880112)	69.444	*	*	*
pK-a(RCOOH) (FAUJ880113)	136.431	*	*	*
Helix-coil equilibrium constant (FINA770101)	210.671	*	*	*
Helix initiation parameter at posision i-1 (FINA910101)	231.534	*	*	*
Helix termination parameter at posision j-2,j-1,j (FINA910103)	199.509	*	*	*
Helix termination parameter at posision j+1 (FINA910104)	329.999	*	*	*
Partition coefficient (GARJ730101)	119.182	*	*	*
Alpha-helix indices (GEIM800101)	390.079	*	*	*
Alpha-helix indices for alpha-proteins (GEIM800102)	178.913	*	*	*
Alpha-helix indices for beta-proteins (GEIM800103)	272.09	*	*	*
Alpha-helix indices for alpha/beta-proteins (GEIM800104)	109.497	*	*	*
Beta-strand indices (GEIM800105)	122.96	*	*	*
Beta-strand indices for beta-proteins (GEIM800106)	165.729	*	*	*
Beta-strand indices for alpha/beta-proteins (GEIM800107)	190.172	*	*	*
Aperiodic indices (GEIM800108)	200.668	*	*	*
Aperiodic indices for alpha-proteins (GEIM800109)	193.861	*	*	*
Aperiodic indices for beta-proteins (GEIM800110)	292.923	*	*	*
Aperiodic indices for alpha/beta-proteins (GEIM800111)	188.65	*	*	*
Hydrophobicity factor (GOLD730101)	363.993	*	*	*
Residue volume (GOLD730102)	426.84	*	*	*
Composition (GRAR740101)	257.884	*	*	*
Polarity (GRAR740102)	340.553	*	*	*
Volume (GRAR740103)	335.643	*	*	*
Partition energy (GUYH850101)	512.224	*	*	*
Hydration number (Hopfinger, 1971), Cited by Charton-Charton (HOPA770101)	278.795	*	*	*
Hydrophilicity value (HOPT810101)	494.788	*	*	*
Heat capacity (HUTJ700101)	432.915	*	*	*
Absolute entropy (HUTJ700102)	528.473	*	*	*
Entropy of formation (HUTJ700103)	426.715	*	*	*
Normalized relative frequency of alpha-helix (ISOY800101)	176.771	*	*	*
Normalized relative frequency of extended structure (ISOY800102)	674.983	*	*	*
Normalized relative frequency of bend (ISOY800103)	236.364	*	*	*
Normalized relative frequency of bend R (ISOY800104)	187.447	*	*	*
Normalized relative frequency of bend S (ISOY800105)	469.878	*	*	*
Normalized relative frequency of helix end (ISOY800106)	418.292	*	*	*
Normalized relative frequency of double bend (ISOY800107)	373.216	*	*	*
Normalized relative frequency of coil (ISOY800108)	415.109	*	*	*
Average accessible surface area (JANJ780101)	356.153	*	*	*
Percentage of buried residues (JANJ780102)	245.759	*	*	*
Percentage of exposed residues (JANJ780103)	293.682	*	*	*
Ratio of buried and accessible molar fractions (JANJ790101)	371.013	*	*	*
Transfer free energy (JANJ790102)	485.414	*	*	*
Hydrophobicity (JOND750101)	468.317	*	*	*
pK (-COOH) (JOND750102)	228.797	*	*	*
Relative frequency of occurrence (JOND920101)	163.546	*	*	*
Relative mutability (JOND920102)	275.167	*	*	*
Amino acid distribution (JUKT750101)	349.547	*	*	*
Sequence frequency (JUNJ780101)	182.434	*	*	*
Average relative probability of helix (KANM800101)	524.254	*	*	*
Average relative probability of beta-sheet (KANM800102)	168.954	*	*	*
Average relative probability of inner helix (KANM800103)	212.301	*	*	*
Average relative probability of inner beta-sheet (KANM800104)	223.539	*	*	*
Flexibility parameter for no rigid neighbors (KARP850101)	427.446	*	*	*
Flexibility parameter for one rigid neighbor (KARP850102)	196.082	*	*	*
Flexibility parameter for two rigid neighbors (KARP850103)	117.506	*	*	*
The Kerr-constant increments (KHAG800101)	345.024	*	*	*
Net charge (KLEP840101)	196.238	*	*	*
Side chain interaction parameter (KRIW710101)	354.378	*	*	*
Side chain interaction parameter (KRIW790101)	489.909	*	*	*
Fraction of site occupied by water (KRIW790102)	219.981	*	*	*
Side chain volume (KRIW790103)	395.741	*	*	*
Hydropathy index (KYTJ820101)	171.323	*	*	*
Transfer free energy, CHP/water (LAWE840101)	171.226	*	*	*
Hydrophobic parameter (LEVM760101)	441.982	*	*	*
Distance between C-alpha and centroid of side chain (LEVM760102)	275.909	*	*	*
Side chain angle theta(AAR) (LEVM760103)	133.457	*	*	*
Side chain torsion angle phi(AAAR) (LEVM760104)	520.484	*	*	*
Radius of gyration of side chain (LEVM760105)	401.463	*	*	*
van der Waals parameter R0 (LEVM760106)	462.495	*	*	*
van der Waals parameter epsilon (LEVM760107)	160.094	*	*	*
Normalized frequency of alpha-helix, with weights (LEVM780101)	296.519	*	*	*
Normalized frequency of beta-sheet, with weights (LEVM780102)	158.482	*	*	*
Normalized frequency of reverse turn, with weights (LEVM780103)	239.983	*	*	*
Normalized frequency of alpha-helix, unweighted (LEVM780104)	355.105	*	*	*
Normalized frequency of beta-sheet, unweighted (LEVM780105)	267.145	*	*	*
Normalized frequency of reverse turn, unweighted (LEVM780106)	146.197	*	*	*
Frequency of occurrence in beta-bends (LEWP710101)	135.578	*	*	*
Conformational preference for all beta-strands (LIFS790101)	443.088	*	*	*
Conformational preference for parallel beta-strands (LIFS790102)	122.72	*	*	*
Conformational preference for antiparallel beta-strands (LIFS790103)	310.839	*	*	*
Average surrounding hydrophobicity (MANP780101)	348.569	*	*	*
Normalized frequency of alpha-helix (MAXF760101)	150.434	*	*	*
Normalized frequency of extended structure (MAXF760102)	273.921	*	*	*
Normalized frequency of zeta R (MAXF760103)	228.416	*	*	*
Normalized frequency of left-handed alpha-helix (MAXF760104)	337.022	*	*	*
Normalized frequency of zeta L (MAXF760105)	246.874	*	*	*
Normalized frequency of alpha region (MAXF760106)	493.489	*	*	*
Refractivity (McMeekin et al., 1964), Cited by Jones (MCMT640101)	463.341	*	*	*
Retention coefficient in HPLC, pH7.4 (MEEJ800101)	254.584	*	*	*
Retention coefficient in HPLC, pH2.1 (MEEJ800102)	121.453	*	*	*
Retention coefficient in NaClO4 (MEEJ810101)	306.173	*	*	*
Retention coefficient in NaH2PO4 (MEEJ810102)	224.427	*	*	*
Average reduced distance for C-alpha (MEIH800101)	240.754	*	*	*
Average reduced distance for side chain (MEIH800102)	263.738	*	*	*
Average side chain orientation angle (MEIH800103)	236.463	*	*	*
Effective partition energy (MIYS850101)	346.203	*	*	*
Normalized frequency of alpha-helix (NAGK730101)	416.16	*	*	*
Normalized frequency of bata-structure (NAGK730102)	173.317	*	*	*
Normalized frequency of coil (NAGK730103)	119.129	*	*	*
AA composition of total proteins (NAKH900101)	281.102	*	*	*
SD of AA composition of total proteins (NAKH900102)	146.905	*	*	*
AA composition of mt-proteins (NAKH900103)	334.016	*	*	*
Normalized composition of mt-proteins (NAKH900104)	138.585	*	*	*
AA composition of mt-proteins from animal (NAKH900105)	418.117	*	*	*
Normalized composition from animal (NAKH900106)	143.792	*	*	*
AA composition of mt-proteins from fungi and plant (NAKH900107)	285.414	*	*	*
Normalized composition from fungi and plant (NAKH900108)	206.329	*	*	*
AA composition of membrane proteins (NAKH900109)	212.998	*	*	*
Normalized composition of membrane proteins (NAKH900110)	281.022	*	*	*
Transmembrane regions of non-mt-proteins (NAKH900111)	280.808	*	*	*
Transmembrane regions of mt-proteins (NAKH900112)	121.801	*	*	*
Ratio of average and computed composition (NAKH900113)	261.776	*	*	*
AA composition of CYT of single-spanning proteins (NAKH920101)	347.482	*	*	*
AA composition of CYT2 of single-spanning proteins (NAKH920102)	345.479	*	*	*
AA composition of EXT of single-spanning proteins (NAKH920103)	243.79	*	*	*
AA composition of EXT2 of single-spanning proteins (NAKH920104)	325.507	*	*	*
AA composition of MEM of single-spanning proteins (NAKH920105)	266.344	*	*	*
AA composition of CYT of multi-spanning proteins (NAKH920106)	235.113	*	*	*
AA composition of EXT of multi-spanning proteins (NAKH920107)	96.071	*	*	*
AA composition of MEM of multi-spanning proteins (NAKH920108)	100.606	*	*	*
8 A contact number (NISK800101)	289.712	*	*	*
14 A contact number (NISK860101)	511.936	*	*	*
